category,key,count
level,ERROR,6
level,INFO,4
level,SECURITY,2
level,WARNING,4
source,auth1,2
source,db1,4
source,server1,6
source,server2,2
source,server3,2
keyword,192.168.1.45,2
keyword,Authentication,2
keyword,Database,2
keyword,Disk,2
keyword,Failed,2
keyword,High,2
keyword,Null,2
keyword,User,2
keyword,admin,2
keyword,attempt,4
keyword,below,2
keyword,connection,2
keyword,detected,2
keyword,detected:,2
keyword,exception,2
keyword,failed,2
keyword,from,4
keyword,injection,2
keyword,login,4
keyword,memory,2
